forecast_type,forecast_effective,forecast_expires,location_id,date,start_time,end_time,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-04-01T15:12:39Z,2025-04-01T16:12:39Z,15,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,5.879999999999999,16,mph,N
hourly,2025-04-01T15:12:40Z,2025-04-01T16:12:24Z,96,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,1.2100000000000009,21,mph,N
hourly,2025-04-01T15:12:40Z,2025-04-01T16:12:24Z,96,2025-04-03,2025-04-03T23:00:00Z,2025-04-04T00:00:00Z,4.659999999999997,8,mph,SE
hourly,2025-04-01T15:12:40Z,2025-04-01T16:12:24Z,96,2025-04-04,2025-04-04T23:00:00Z,2025-04-05T00:00:00Z,4.3699999999999974,16,mph,N
hourly,2025-04-01T15:12:40Z,2025-04-01T16:12:24Z,96,2025-04-05,2025-04-05T22:00:00Z,2025-04-05T23:00:00Z,7.82,16,mph,NW
hourly,2025-04-01T15:12:40Z,2025-04-01T16:12:24Z,96,2025-04-06,2025-04-06T22:00:00Z,2025-04-06T23:00:00Z,8.420000000000002,14,mph,N
hourly,2025-04-01T15:12:44Z,2025-04-01T16:12:01Z,191,2025-04-02,2025-04-02T21:00:00Z,2025-04-02T22:00:00Z,1.5,24,mph,N
hourly,2025-04-01T15:12:44Z,2025-04-01T16:12:01Z,191,2025-04-03,2025-04-03T21:00:00Z,2025-04-03T22:00:00Z,3.1799999999999997,8,mph,W
hourly,2025-04-01T15:12:44Z,2025-04-01T16:12:01Z,191,2025-04-04,2025-04-04T21:00:00Z,2025-04-04T22:00:00Z,4.810000000000002,12,mph,WNW
hourly,2025-04-01T15:12:44Z,2025-04-01T16:12:01Z,191,2025-04-05,2025-04-05T21:00:00Z,2025-04-05T22:00:00Z,7.649999999999999,20,mph,WNW
hourly,2025-04-01T15:12:44Z,2025-04-01T16:12:01Z,191,2025-04-06,2025-04-06T21:00:00Z,2025-04-06T22:00:00Z,7.609999999999999,22,mph,N
hourly,2025-04-01T15:12:45Z,2025-04-01T16:12:43Z,16,2025-04-02,2025-04-02T20:00:00Z,2025-04-02T21:00:00Z,1.6499999999999986,17,mph,NNE
