station_id,station_name,latitude,longitude,elevation,date,delta_t,wind_speed,wind_gust,wind_speed_unit,wind_direction
142,Amidon,46.48844,-103.31629,2882,2025-05-14,4,4.966,8.943,mph,358.3
142,Amidon,46.48844,-103.31629,2882,2025-05-15,1.1,24.539,38.386,mph,311.6
142,Amidon,46.48844,-103.31629,2882,2025-05-16,5.8,15.58,26.463,mph,326.9
142,Amidon,46.48844,-103.31629,2882,2025-05-17,9.3,10.048,17.889,mph,85.1
142,Amidon,46.48844,-103.31629,2882,2025-05-18,1.4,21.072,31.295,mph,102.7
142,Amidon,46.48844,-103.31629,2882,2025-05-19,0.7,14.515,23.6,mph,54.55
142,Amidon,46.48844,-103.31629,2882,2025-05-20,2.9,10.764,16.025,mph,319.4
142,Amidon,46.48844,-103.31629,2882,2025-05-21,6.3,9.773,15.777,mph,355.1
142,Amidon,46.48844,-103.31629,2882,2025-05-22,12.7,7.903,14.659,mph,75.15
142,Amidon,46.48844,-103.31629,2882,2025-05-23,6.5,14.196,22.861,mph,114.2
142,Amidon,46.48844,-103.31629,2882,2025-05-24,3.5,10.487,16.025,mph,129.9
142,Amidon,46.48844,-103.31629,2882,2025-05-25,11,11.8,19.014,mph,150.7
142,Amidon,46.48844,-103.31629,2882,2025-05-26,13.5,19.036,29.818,mph,138.6
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-01,8,12.645,22.727,mph,337
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-02,18.4,6.071,18.768,mph,238.2
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-03,26.2,7.928,15.155,mph,147.9
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-04,29.5,12.413,22.481,mph,191.8
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-05,13.8,18.052,31.563,mph,3.262
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-06,15.6,8.207,15.155,mph,32.13
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-07,19.3,12.12,24.964,mph,155
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-08,26,12.583,21.609,mph,230.2
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-09,23.2,4.498,11.18,mph,149.5
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-10,32.1,12.887,24.226,mph,231.8
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-11,27.9,7.946,17.64,mph,247.4
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-12,32.1,8.793,21.609,mph,176.7
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-13,20.5,12.697,21.989,mph,354.6
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-14,3.2,8.183,14.037,mph,17.67
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-15,0.9,19.126,30.064,mph,319.3
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-16,6.1,13.659,23.6,mph,340
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-17,10,5.156,12.05,mph,60.63
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-18,2.1,19.439,27.962,mph,102.9
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-19,2.1,10.335,19.26,mph,62.75
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-20,3.9,7.066,11.429,mph,343.1
164,Antelope Creek,47.67473,-103.43309000000001,2214,2025-05-21,4,6.527,11.18,mph,32.07
