forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T14:00:00Z,2025-10-04T15:00:00Z,9 AM,10 AM,7,13,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T15:00:00Z,2025-10-04T16:00:00Z,10 AM,11 AM,8.4,14,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T16:00:00Z,2025-10-04T17:00:00Z,11 AM,12 PM,10.3,14,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T17:00:00Z,2025-10-04T18:00:00Z,12 PM,1 PM,12.5,14,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T18:00:00Z,2025-10-04T19:00:00Z,1 PM,2 PM,14.4,14,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T19:00:00Z,2025-10-04T20:00:00Z,2 PM,3 PM,15.4,14,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T20:00:00Z,2025-10-04T21:00:00Z,3 PM,4 PM,15.8,15,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T21:00:00Z,2025-10-04T22:00:00Z,4 PM,5 PM,15.8,15,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-04,2025-10-04T22:00:00Z,2025-10-04T23:00:00Z,5 PM,6 PM,14.9,14,mph,S
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T11:00:00Z,2025-10-05T12:00:00Z,6 AM,7 AM,2.1,13,mph,SW
hourly,2025-10-01T08:40:25Z,2025-10-01T08:55:25Z,78,America/Chicago,2025-10-05,2025-10-05T12:00:00Z,2025-10-05T13:00:00Z,7 AM,8 AM,1.8,14,mph,WSW
