forecast_type,forecast_effective,forecast_expires,location_id,location_tz,date,start_time,end_time,start_time_local,end_time_local,delta_t,wind_speed,wind_speed_unit,wind_direction
hourly,2025-09-12T08:36:23Z,2025-09-12T08:51:23Z,161,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,8.9,15,mph,E
hourly,2025-09-12T08:36:23Z,2025-09-12T08:51:23Z,161,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,12.4,18,mph,SSE
hourly,2025-09-12T08:36:23Z,2025-09-12T08:51:23Z,161,America/Chicago,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,4 PM,5 PM,10.8,20,mph,SSW
hourly,2025-09-12T08:36:23Z,2025-09-12T08:51:23Z,161,America/Chicago,2025-09-16,2025-09-16T20:00:00Z,2025-09-16T21:00:00Z,3 PM,4 PM,12.9,12,mph,S
hourly,2025-09-12T08:36:23Z,2025-09-12T08:51:23Z,161,America/Chicago,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,4 PM,5 PM,7.4,12,mph,NNE
hourly,2025-09-12T08:36:25Z,2025-09-12T08:51:25Z,9,America/Chicago,2025-09-12,2025-09-12T22:00:00Z,2025-09-12T23:00:00Z,5 PM,6 PM,6.2,10,mph,ENE
hourly,2025-09-12T08:36:25Z,2025-09-12T08:51:25Z,9,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,5.5,16,mph,E
hourly,2025-09-12T08:36:25Z,2025-09-12T08:51:25Z,9,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,6.9,14,mph,SE
hourly,2025-09-12T08:36:25Z,2025-09-12T08:51:25Z,9,America/Chicago,2025-09-15,2025-09-15T22:00:00Z,2025-09-15T23:00:00Z,5 PM,6 PM,6.7,14,mph,SW
hourly,2025-09-12T08:36:25Z,2025-09-12T08:51:25Z,9,America/Chicago,2025-09-16,2025-09-16T20:00:00Z,2025-09-16T21:00:00Z,3 PM,4 PM,9.3,12,mph,W
hourly,2025-09-12T08:36:25Z,2025-09-12T08:51:25Z,9,America/Chicago,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,4 PM,5 PM,6.5,12,mph,N
hourly,2025-09-12T08:36:26Z,2025-09-12T08:51:26Z,160,America/Chicago,2025-09-12,2025-09-12T21:00:00Z,2025-09-12T22:00:00Z,4 PM,5 PM,11.9,10,mph,NE
hourly,2025-09-12T08:36:26Z,2025-09-12T08:51:26Z,160,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,1.4,13,mph,E
hourly,2025-09-12T08:36:26Z,2025-09-12T08:51:26Z,160,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,6,8,mph,SW
hourly,2025-09-12T08:36:26Z,2025-09-12T08:51:26Z,160,America/Chicago,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,4 PM,5 PM,10.9,10,mph,W
hourly,2025-09-12T08:36:26Z,2025-09-12T08:51:26Z,160,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,10.9,13,mph,NW
hourly,2025-09-12T08:36:26Z,2025-09-12T08:51:26Z,160,America/Chicago,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,4 PM,5 PM,9.4,9,mph,N
hourly,2025-09-12T08:36:27Z,2025-09-12T08:51:27Z,224,America/Chicago,2025-09-12,2025-09-12T22:00:00Z,2025-09-12T23:00:00Z,5 PM,6 PM,7.6,8,mph,NE
hourly,2025-09-12T08:36:27Z,2025-09-12T08:51:27Z,224,America/Chicago,2025-09-13,2025-09-13T20:00:00Z,2025-09-13T21:00:00Z,3 PM,4 PM,3.4,13,mph,E
hourly,2025-09-12T08:36:27Z,2025-09-12T08:51:27Z,224,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,6.8,10,mph,SE
hourly,2025-09-12T08:36:27Z,2025-09-12T08:51:27Z,224,America/Chicago,2025-09-15,2025-09-15T22:00:00Z,2025-09-15T23:00:00Z,5 PM,6 PM,7.2,9,mph,SW
hourly,2025-09-12T08:36:27Z,2025-09-12T08:51:27Z,224,America/Chicago,2025-09-16,2025-09-16T21:00:00Z,2025-09-16T22:00:00Z,4 PM,5 PM,9.2,10,mph,NW
hourly,2025-09-12T08:36:27Z,2025-09-12T08:51:27Z,224,America/Chicago,2025-09-17,2025-09-17T21:00:00Z,2025-09-17T22:00:00Z,4 PM,5 PM,6.5,8,mph,N
hourly,2025-09-12T08:36:29Z,2025-09-12T08:51:29Z,159,America/Chicago,2025-09-12,2025-09-12T21:00:00Z,2025-09-12T22:00:00Z,4 PM,5 PM,10.1,10,mph,E
hourly,2025-09-12T08:36:29Z,2025-09-12T08:51:29Z,159,America/Chicago,2025-09-13,2025-09-13T21:00:00Z,2025-09-13T22:00:00Z,4 PM,5 PM,3.3,14,mph,E
hourly,2025-09-12T08:36:29Z,2025-09-12T08:51:29Z,159,America/Chicago,2025-09-14,2025-09-14T21:00:00Z,2025-09-14T22:00:00Z,4 PM,5 PM,6,9,mph,SE
hourly,2025-09-12T08:36:29Z,2025-09-12T08:51:29Z,159,America/Chicago,2025-09-15,2025-09-15T21:00:00Z,2025-09-15T22:00:00Z,4 PM,5 PM,9.7,12,mph,W
hourly,2025-09-12T08:36:29Z,2025-09-12T08:51:29Z,159,America/Chicago,2025-09-16,2025-09-16T20:00:00Z,2025-09-16T21:00:00Z,3 PM,4 PM,10.8,14,mph,NW
hourly,2025-09-12T08:36:29Z,2025-09-12T08:51:29Z,159,America/Chicago,2025-09-17,2025-09-17T22:00:00Z,2025-09-17T23:00:00Z,5 PM,6 PM,8.8,9,mph,N
hourly,2025-09-12T08:36:31Z,2025-09-12T08:51:31Z,10,America/Denver,2025-09-12,2025-09-12T20:00:00Z,2025-09-12T21:00:00Z,2 PM,3 PM,15.1,8,mph,N
