State,County,FIPS,MapDate,DSCI
ND,Mountrail County,38061,20250128,287
ND,Mountrail County,38061,20250204,287
ND,Mountrail County,38061,20250211,287
ND,Mountrail County,38061,20250218,287
ND,Mountrail County,38061,20250225,287
ND,Nelson County,38063,20241231,0
ND,Nelson County,38063,20250107,0
ND,Nelson County,38063,20250114,0
ND,Nelson County,38063,20250121,0
ND,Nelson County,38063,20250128,0
ND,Nelson County,38063,20250204,0
ND,Nelson County,38063,20250211,0
ND,Nelson County,38063,20250218,0
ND,Nelson County,38063,20250225,0
ND,Oliver County,38065,20241231,190
ND,Oliver County,38065,20250107,190
ND,Oliver County,38065,20250114,190
ND,Oliver County,38065,20250121,190
ND,Oliver County,38065,20250128,190
ND,Oliver County,38065,20250204,190
ND,Oliver County,38065,20250211,190
ND,Oliver County,38065,20250218,190
ND,Oliver County,38065,20250225,190
ND,Pembina County,38067,20241231,0
ND,Pembina County,38067,20250107,0
ND,Pembina County,38067,20250114,0
ND,Pembina County,38067,20250121,0
ND,Pembina County,38067,20250128,0
ND,Pembina County,38067,20250204,0
ND,Pembina County,38067,20250211,0
ND,Pembina County,38067,20250218,0
ND,Pembina County,38067,20250225,0
ND,Pierce County,38069,20241231,0
ND,Pierce County,38069,20250107,0
ND,Pierce County,38069,20250114,0
ND,Pierce County,38069,20250121,0
ND,Pierce County,38069,20250128,0
ND,Pierce County,38069,20250204,0
ND,Pierce County,38069,20250211,0
ND,Pierce County,38069,20250218,0
ND,Pierce County,38069,20250225,0
ND,Ramsey County,38071,20241231,0
ND,Ramsey County,38071,20250107,0
ND,Ramsey County,38071,20250114,0
ND,Ramsey County,38071,20250121,0
ND,Ramsey County,38071,20250128,0
ND,Ramsey County,38071,20250204,0
ND,Ramsey County,38071,20250211,0
ND,Ramsey County,38071,20250218,0
ND,Ramsey County,38071,20250225,0
ND,Ransom County,38073,20241231,200
ND,Ransom County,38073,20250107,200
ND,Ransom County,38073,20250114,200
ND,Ransom County,38073,20250121,200
ND,Ransom County,38073,20250128,200
ND,Ransom County,38073,20250204,200
ND,Ransom County,38073,20250211,200
ND,Ransom County,38073,20250218,200
ND,Ransom County,38073,20250225,200
ND,Renville County,38075,20241231,284
ND,Renville County,38075,20250107,284
ND,Renville County,38075,20250114,284
ND,Renville County,38075,20250121,284
ND,Renville County,38075,20250128,284
ND,Renville County,38075,20250204,284
ND,Renville County,38075,20250211,284
ND,Renville County,38075,20250218,284
ND,Renville County,38075,20250225,284
ND,Richland County,38077,20241231,200
ND,Richland County,38077,20250107,200
ND,Richland County,38077,20250114,200
ND,Richland County,38077,20250121,200
