MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20241231,38027,Eddy County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38029,Emmons County,ND,0.57,99.43,69.25,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38031,Foster County,ND,100.00,0.00,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-02-25,2025-03-03,1
20250218,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-02-18,2025-02-24,1
20250211,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-02-11,2025-02-17,1
20250204,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-02-04,2025-02-10,1
20250128,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,2.27,0.00,2025-01-28,2025-02-03,1
20250121,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2025-01-21,2025-01-27,1
20250114,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2025-01-14,2025-01-20,1
20250107,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2025-01-07,2025-01-13,1
20241231,38033,Golden Valley County,ND,0.00,100.00,100.00,100.00,100.00,0.00,2024-12-31,2025-01-06,1
20250225,38035,Grand Forks County,ND,62.50,37.50,0.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38035,Grand Forks County,ND,62.50,37.50,0.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38035,Grand Forks County,ND,62.50,37.50,0.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38035,Grand Forks County,ND,62.50,37.50,0.00,0.00,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38035,Grand Forks County,ND,62.50,37.50,0.00,0.00,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38035,Grand Forks County,ND,62.50,37.50,0.00,0.00,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38035,Grand Forks County,ND,62.50,37.50,0.00,0.00,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38035,Grand Forks County,ND,62.50,37.50,0.00,0.00,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38035,Grand Forks County,ND,62.50,37.50,0.00,0.00,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38037,Grant County,ND,0.00,100.00,100.00,39.14,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38037,Grant County,ND,0.00,100.00,100.00,39.14,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38037,Grant County,ND,0.00,100.00,100.00,39.14,0.00,0.00,2025-02-11,2025-02-17,1
20250204,38037,Grant County,ND,0.00,100.00,100.00,39.14,0.00,0.00,2025-02-04,2025-02-10,1
20250128,38037,Grant County,ND,0.00,100.00,100.00,39.14,0.00,0.00,2025-01-28,2025-02-03,1
20250121,38037,Grant County,ND,0.00,100.00,100.00,39.14,0.00,0.00,2025-01-21,2025-01-27,1
20250114,38037,Grant County,ND,0.00,100.00,100.00,39.14,0.00,0.00,2025-01-14,2025-01-20,1
20250107,38037,Grant County,ND,0.00,100.00,100.00,39.14,0.00,0.00,2025-01-07,2025-01-13,1
20241231,38037,Grant County,ND,0.00,100.00,100.00,39.14,0.00,0.00,2024-12-31,2025-01-06,1
20250225,38039,Griggs County,ND,79.10,20.90,0.00,0.00,0.00,0.00,2025-02-25,2025-03-03,1
20250218,38039,Griggs County,ND,79.10,20.90,0.00,0.00,0.00,0.00,2025-02-18,2025-02-24,1
20250211,38039,Griggs County,ND,79.10,20.90,0.00,0.00,0.00,0.00,2025-02-11,2025-02-17,1
